Step,Energy,Magnetisation
977,-16760,1060
978,-16636,1118
979,-16608,1152
980,-16528,1058
981,-16724,1012
982,-16584,1034
983,-16528,1052
984,-16484,1104
985,-16696,1064
986,-16552,1040
987,-16744,1046
988,-16720,1098
989,-16612,1070
990,-16712,1064
991,-16408,1022
992,-16628,1148
993,-16548,1122
994,-16740,982
995,-16816,978
996,-16912,1044
997,-16832,1028
998,-16732,1018
999,-16700,1016
